Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,3,17.3,15,60,6,16,97,5,3.0,37402.56
4,4,13.3,8,83,9,16,61,5,1.41,50562.72
7,3,15.6,0,10,9,4,16,5,1.91,23757.552
7,3,17.3,15,106,1,10,98,5,2.9,56423.52
11,1,17.3,8,102,1,31,80,5,4.14,133146.72
10,0,15.6,13,102,9,29,77,5,2.0,90522.72
4,3,17.3,8,106,9,5,7,5,2.8,60845.76
10,3,15.6,8,56,6,16,47,4,2.2,23656.32
7,3,15.6,15,83,6,26,53,5,2.1,38468.16
4,3,15.6,8,74,6,10,53,5,2.18,35004.96
4,3,15.6,8,74,9,10,24,5,2.24,30103.2
4,0,15.6,7,83,9,16,61,5,2.67,42570.72
2,0,13.3,7,106,9,34,61,5,4.1,79866.72
7,3,17.3,8,106,9,10,70,5,2.5,54239.04
10,3,15.6,8,106,9,16,61,5,2.05,46886.4
1,4,13.3,23,66,9,29,57,8,1.37,104370.192
2,1,17.3,8,26,1,18,37,5,3.2,82530.72
4,3,15.6,8,106,9,16,6,2,2.14,39164.5296
10,0,14.0,39,91,1,29,47,5,1.36,133146.72
16,3,15.6,0,89,9,26,68,5,2.2,43263.36
4,3,15.6,0,97,0,10,53,5,2.3,37992.3696
4,3,17.3,8,106,9,5,7,2,2.8,58554.72
0,3,15.6,15,106,9,10,97,5,2.2,39693.6
10,3,17.3,2,56,6,10,47,5,2.8,26053.92
10,3,17.3,8,106,9,22,98,4,2.8,45234.72
10,3,17.3,2,97,8,5,72,5,2.8,45767.52
4,3,15.6,8,54,6,10,24,2,2.25,22803.84
10,1,15.6,15,77,9,16,75,5,2.5,44169.12
10,3,15.6,8,74,8,16,53,5,2.2,30849.12
0,3,15.6,15,106,9,16,98,5,3.0,50669.28
0,3,15.6,13,97,0,10,53,5,2.15,35111.52
10,3,15.6,15,97,9,16,55,5,1.95,58448.16
2,4,15.6,8,74,9,16,72,5,1.7,52054.56
10,1,15.6,15,102,1,18,76,5,2.5,62817.12
10,3,15.6,8,97,9,10,72,4,2.2,35112.0528
0,3,15.6,0,32,4,8,40,1,2.19,10602.72
2,1,17.3,8,102,9,10,75,5,3.0,63243.36
7,3,17.3,2,56,9,10,47,5,2.54,26053.92
4,3,15.6,8,102,9,16,75,5,2.0,97449.12
10,3,15.6,8,83,9,16,61,5,2.05,39373.92
10,1,15.6,15,102,9,10,79,5,3.2,69210.72
0,3,15.6,8,102,9,16,76,2,2.5,52161.12
4,5,17.3,8,104,1,16,101,5,3.42,153705.3408
10,3,15.6,8,0,8,10,18,5,2.4,26586.72
2,4,15.6,8,97,1,29,72,5,1.63,78215.04
2,3,14.0,0,59,6,4,53,5,1.3,27119.52
2,1,17.3,8,102,1,18,80,5,2.9,113060.16
10,3,17.3,2,74,8,10,84,5,5.8,34578.72
10,3,15.6,0,74,9,22,72,4,2.2,29250.72
2,1,15.6,8,102,9,5,76,5,2.5,67399.2
10,3,15.6,0,113,6,10,44,4,2.2,19180.2672
7,0,13.3,7,99,1,16,53,5,1.28,105228.0
16,3,15.6,15,89,9,16,68,5,2.2,55571.04
10,3,15.6,8,74,9,5,72,5,2.3,43636.32
7,3,15.6,8,56,6,10,47,5,1.86,24988.32
10,3,13.3,15,74,9,16,53,5,1.1,53226.72
4,4,13.3,11,106,1,12,61,5,1.21,133146.72
11,1,15.6,15,102,1,18,80,5,2.8,111834.72
0,3,15.6,8,11,9,16,17,5,2.23,24988.32
2,0,11.6,36,37,4,23,43,5,1.1,14652.0
4,3,15.6,8,83,9,5,7,5,2.33,44968.32
7,0,13.3,11,106,1,12,61,5,1.29,130482.72
10,3,13.3,0,33,6,7,45,1,1.45,24503.472
7,3,14.0,8,74,9,16,53,5,1.95,52214.4
0,3,11.6,0,112,6,2,42,5,1.4,25840.8
7,3,14.0,8,97,9,16,53,5,1.48,68837.76
10,3,17.3,2,74,6,10,66,5,2.79,31381.92
2,3,14.0,8,97,9,16,53,5,2.0,58288.32
7,3,15.6,14,106,9,10,61,5,2.1,48058.56
0,3,15.6,0,4,9,16,34,5,2.2,35111.52
10,3,14.0,0,37,6,23,43,5,1.44,15557.76
0,3,15.6,0,74,8,10,53,5,8.23,29250.72
2,4,15.6,8,97,9,16,72,5,1.7,55938.672
7,4,12.5,8,97,9,16,53,5,1.26,71128.8
4,3,15.6,5,102,5,12,75,5,2.06,140605.92
11,1,17.3,8,102,9,18,76,5,2.7,63882.72
16,3,15.6,15,74,9,16,53,5,2.0,50243.04
2,3,14.0,8,97,9,18,53,5,2.0,71075.52
10,3,15.6,8,56,6,10,47,5,1.85,23922.72
2,1,15.6,8,102,9,16,75,5,2.5,53226.72
7,3,14.0,8,78,9,16,53,5,1.48,67559.04
7,3,15.6,8,74,9,16,53,5,1.84,60952.32
2,3,15.6,0,37,6,10,43,2,2.0,14651.4672
4,3,15.6,8,83,9,16,72,5,2.0,60885.72
4,3,15.6,0,36,6,26,40,2,2.2,14646.672
10,3,15.6,8,5,0,22,7,5,2.2,47898.72
7,3,15.6,15,59,9,10,70,5,2.1,38148.48
10,0,13.9,11,106,1,29,61,5,1.4,111834.72
4,4,13.3,8,106,9,16,61,5,1.2,84129.12
10,1,15.6,15,102,1,20,76,5,2.4,60153.12
7,3,14.0,0,36,4,23,41,5,1.44,14865.12
4,4,15.6,8,107,1,32,61,5,1.88,85672.1088
2,0,11.6,36,37,6,23,43,5,1.5,19980.0
4,4,15.6,8,83,9,10,7,5,0.0002,35324.64
7,3,15.6,8,97,9,16,53,5,1.84,69477.12
11,1,17.3,8,102,9,5,79,5,2.7,75071.52
7,5,15.6,8,102,9,16,101,5,2.6,92615.0256
16,3,15.6,15,89,1,29,68,5,2.4,74751.84
4,3,15.6,8,106,9,6,7,5,2.02,51729.552
10,3,15.6,0,37,6,10,43,4,2.2,17155.6272
4,1,15.6,8,77,9,10,75,5,2.65,53226.72
4,3,15.6,36,74,9,22,53,5,2.36,29696.6736
4,3,14.0,8,78,9,16,53,5,1.36,76030.56
7,3,15.6,0,56,6,26,47,5,1.86,23389.92
2,3,14.0,8,74,9,16,53,5,2.0,50349.6
10,3,17.3,2,74,8,5,85,5,2.8,38308.32
7,3,15.6,8,74,9,10,53,5,1.86,34045.92
10,3,15.6,0,56,9,16,67,4,2.2,26586.72
7,3,15.6,0,112,9,22,42,5,2.04,20725.92
4,3,17.3,8,83,9,5,7,5,2.8,57808.8
10,1,15.6,15,77,9,5,75,4,2.4,43103.52
4,3,15.6,8,97,9,16,30,5,2.33,47898.72
7,4,14.0,15,97,9,16,53,5,1.36,93240.0
2,0,15.6,7,97,0,33,74,5,2.26,58554.72
0,3,15.6,0,14,6,4,17,5,2.1,22697.28
2,1,17.3,15,26,1,18,37,5,3.25,117162.72
10,3,17.3,2,11,6,4,17,5,2.6,26053.92
4,0,13.3,7,106,9,16,61,5,1.62,46300.8528
7,3,15.6,8,14,6,16,17,5,1.91,26053.3872
10,2,11.6,9,41,6,4,43,5,1.59,29463.84
4,3,15.6,0,35,6,26,41,5,1.8,16463.52
2,3,14.0,0,37,6,23,43,5,1.5,15238.08
0,3,15.6,8,102,9,10,75,2,2.4,45074.88
7,1,17.3,15,102,9,5,75,5,3.35,63456.48
10,3,15.6,8,56,6,4,47,4,1.85,21498.48
2,1,15.6,15,102,9,5,79,5,2.3,88178.4
10,3,14.0,15,74,9,16,72,5,1.5,58554.72
2,4,13.3,7,97,1,29,53,5,1.1,93181.392
10,4,14.0,10,97,9,29,53,5,1.13,121584.96
10,3,13.3,15,59,6,4,53,5,1.5,29250.72
4,5,15.6,8,72,9,26,2,5,2.23,72940.32
4,5,15.6,15,94,9,16,101,5,2.0,113752.8
10,0,14.0,39,97,1,29,53,5,1.42,133679.52
2,1,17.3,8,102,9,10,75,5,3.0,55357.92
2,1,17.3,8,102,1,18,76,5,3.0,84768.48
0,3,15.6,9,83,0,10,97,5,2.2,36975.7872
11,1,17.3,8,102,9,16,76,5,2.7,71874.72
4,3,15.6,8,97,9,16,30,2,2.33,41498.1936
7,4,15.6,8,14,6,16,6,5,1.91,26586.72
